code	name	type	scope	status
awh	Awbono	living	individual	pending
awi	Aekyom	living	individual	pending
awk	Awabakal	extinct	individual	pending
awm	Arawum	living	individual	pending
awn	Awngi	living	individual	pending
awo	Awak	living	individual	pending
awr	Awera	living	individual	pending
aws	South Awyu	living	individual	pending
awt	Araweté	living	individual	pending
awu	Central Awyu	living	individual	pending
awv	Jair Awyu	living	individual	pending
aww	Awun	living	individual	pending
awx	Awara	living	individual	pending
awy	Edera Awyu	living	individual	pending
axb	Abipon	extinct	individual	pending
axe	Ayerrerenge	extinct	individual	pending
axg	Mato Grosso Arára	extinct	individual	pending
axk	Yaka (Central African Republic)	living	individual	pending
axl	Lower Southern Aranda	extinct	individual	pending
axm	Middle Armenian	historical	individual	pending
axx	Xârâgurè	living	individual	pending
aya	Awar	living	individual	pending
ayb	Ayizo Gbe	living	individual	pending
ayc	Southern Aymara	living	individual	pending
ayd	Ayabadhu	extinct	individual	pending
aye	Ayere	living	individual	pending
ayg	Ginyanga	living	individual	pending
ayh	Hadrami Arabic	living	individual	pending
ayi	Leyigha	living	individual	pending
ayk	Akuku	living	individual	pending
ayl	Libyan Arabic	living	individual	pending
aym	Aymara	living	macrolanguage	pending
ayn	Sanaani Arabic	living	individual	pending
ayo	Ayoreo	living	individual	pending
ayp	North Mesopotamian Arabic	living	individual	pending
ayq	Ayi (Papua New Guinea)	living	individual	pending
ayr	Central Aymara	living	individual	pending
ays	Sorsogon Ayta	living	individual	pending
ayt	Magbukun Ayta	living	individual	pending
ayu	Ayu	living	individual	pending
ayz	Mai Brat	living	individual	pending
aza	Azha	living	individual	pending
azb	South Azerbaijani	living	individual	pending
azd	Eastern Durango Nahuatl	living	individual	pending
aze	Azerbaijani	living	macrolanguage	pending
azg	San Pedro Amuzgos Amuzgo	living	individual	pending
azj	North Azerbaijani	living	individual	pending
azm	Ipalapa Amuzgo	living	individual	pending
azn	Western Durango Nahuatl	living	individual	pending
azo	Awing	living	individual	pending
azt	Faire Atta	living	individual	pending
azz	Highland Puebla Nahuatl	living	individual	pending
baa	Babatana	living	individual	pending
bab	Bainouk-Gunyuño	living	individual	pending
bac	Badui	living	individual	pending
bae	Baré	extinct	individual	pending
baf	Nubaca	living	individual	pending
bag	Tuki	living	individual	pending
bah	Bahamas Creole English	living	individual	pending
baj	Barakai	living	individual	pending
bak	Bashkir	living	individual	pending
bal	Baluchi	living	macrolanguage	seeded
bam	Bambara	living	individual	pending
ban	Balinese	living	individual	seeded
bao	Waimaha	living	individual	pending
bap	Bantawa	living	individual	pending
bar	Bavarian	living	individual	pending
bas	Basa (Cameroon)	living	individual	pending
bau	Bada (Nigeria)	living	individual	pending
bav	Vengo	living	individual	pending
baw	Bambili-Bambui	living	individual	pending
bax	Bamun	living	individual	pending
bay	Batuley	living	individual	pending
bba	Baatonum	living	individual	pending
bbb	Barai	living	individual	pending
bbc	Batak Toba	living	individual	pending
bbd	Bau	living	individual	pending
bbe	Bangba	living	individual	pending
bbf	Baibai	living	individual	pending
bbg	Barama	living	individual	pending
bbh	Bugan	living	individual	pending
bbi	Barombi	living	individual	pending
bbj	Ghomálá'	living	individual	pending
bbk	Babanki	living	individual	pending
bbl	Bats	living	individual	pending
bbm	Babango	living	individual	pending
bbn	Uneapa	living	individual	pending
bbo	Northern Bobo Madaré	living	individual	pending
bbp	West Central Banda	living	individual	pending
bbq	Bamali	living	individual	pending
bbr	Girawa	living	individual	pending
bbs	Bakpinka	living	individual	pending
bbt	Mburku	living	individual	pending
bbu	Kulung (Nigeria)	living	individual	pending
bbv	Karnai	living	individual	pending
bbw	Baba	living	individual	pending
bbx	Bubia	living	individual	pending
bby	Befang	living	individual	pending
bca	Central Bai	living	individual	pending
bcb	Bainouk-Samik	living	individual	pending
bcc	Southern Balochi	living	individual	pending
bcd	North Babar	living	individual	pending
bce	Bamenyam	living	individual	pending
bcf	Bamu	living	individual	pending
bcg	Baga Pokur	living	individual	pending
bch	Bariai	living	individual	pending
bci	Baoulé	living	individual	pending
bcj	Bardi	living	individual	pending
bck	Bunuba	living	individual	pending
bcl	Central Bikol	living	individual	pending
bcm	Bannoni	living	individual	pending
bcn	Bali (Nigeria)	living	individual	pending
bco	Kaluli	living	individual	pending
bcp	Bali (Democratic Republic of Congo)	living	individual	pending
bcq	Bench	living	individual	pending
bcr	Babine	living	individual	pending
bcs	Kohumono	living	individual	pending
bct	Bendi	living	individual	pending
bcu	Awad Bing	living	individual	pending
bcv	Shoo-Minda-Nye	living	individual	pending
bcw	Bana	living	individual	pending
bcy	Bacama	living	individual	pending
